function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
7;binary;s13;kernel.c:3-19;99.08;0.11;;;;;;
233;libc-2.32.so;srandom_r;;0.92;0;;;;;;
