2.67 cycles/c_element
2.66 cycles/c_element
3.10 cycles/c_element
2.73 cycles/c_element
2.54 cycles/c_element
2.86 cycles/c_element
2.70 cycles/c_element
2.36 cycles/c_element
2.29 cycles/c_element
2.38 cycles/c_element
2.46 cycles/c_element
2.53 cycles/c_element
2.35 cycles/c_element
2.26 cycles/c_element
2.74 cycles/c_element
2.51 cycles/c_element
2.39 cycles/c_element
2.28 cycles/c_element
2.38 cycles/c_element
2.28 cycles/c_element
2.51 cycles/c_element
2.26 cycles/c_element
2.27 cycles/c_element
2.96 cycles/c_element
2.34 cycles/c_element
2.52 cycles/c_element
2.41 cycles/c_element
2.67 cycles/c_element
2.42 cycles/c_element
2.48 cycles/c_element
2.33 cycles/c_element
