3.66 cycles/c_element
3.74 cycles/c_element
3.32 cycles/c_element
3.10 cycles/c_element
4.21 cycles/c_element
3.95 cycles/c_element
3.54 cycles/c_element
3.66 cycles/c_element
4.46 cycles/c_element
6.14 cycles/c_element
6.17 cycles/c_element
6.37 cycles/c_element
5.98 cycles/c_element
4.77 cycles/c_element
3.22 cycles/c_element
3.28 cycles/c_element
3.58 cycles/c_element
3.18 cycles/c_element
3.10 cycles/c_element
3.10 cycles/c_element
3.15 cycles/c_element
3.10 cycles/c_element
3.15 cycles/c_element
3.66 cycles/c_element
3.10 cycles/c_element
3.10 cycles/c_element
3.10 cycles/c_element
3.10 cycles/c_element
3.10 cycles/c_element
3.10 cycles/c_element
3.62 cycles/c_element
