block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
119;s13_03n_v6;;31.03;0.04;0.04;0.04;0.04;0;1;
118;s13_03n_v6;;27.59;0.04;0.04;0.04;0.04;0;1;
117;s13_03n_v6;;24.14;0.04;0.03;0.03;0.03;0;1;
115;s13_03n_v6;;13.79;0.02;0.02;0.02;0.02;0;1;
116;s13_03n_v6;;3.45;0;0;0;0;0;1;
