Node;Process;Thread;System (%);Binary (%);Time (s);Math (%);OMP (%);String (%);Others (%);IO (%);Memory (%);MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;100;0.09;0;0;0;0;0;0;0;0;
alfred;_ALL;_ALL;0;100;0.09;0;0;0;0;0;0;0;0;
alfred;42937;_ALL;0;100;0.09;0;0;0;0;0;0;0;0;
alfred;42937;42937;0;100;0.09;0;0;0;0;0;0;0;0;
