block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
98;s13_gcc_O2;;55.56;0.05;;;;;;
95;s13_gcc_O2;;16.67;0.02;;;;;;
96;s13_gcc_O2;;11.11;0.01;;;;;;
97;s13_gcc_O2;;11.11;0.01;;;;;;
99;s13_gcc_O2;;5.56;0.01;;;;;;
