1.37 cycles/c_element
1.34 cycles/c_element
1.33 cycles/c_element
1.34 cycles/c_element
1.34 cycles/c_element
1.34 cycles/c_element
1.34 cycles/c_element
1.34 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.34 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
1.33 cycles/c_element
