4.07 cycles/c_element
4.31 cycles/c_element
3.94 cycles/c_element
3.80 cycles/c_element
5.07 cycles/c_element
3.99 cycles/c_element
4.54 cycles/c_element
3.86 cycles/c_element
3.74 cycles/c_element
4.08 cycles/c_element
3.85 cycles/c_element
4.26 cycles/c_element
3.89 cycles/c_element
3.81 cycles/c_element
3.81 cycles/c_element
3.85 cycles/c_element
3.82 cycles/c_element
4.17 cycles/c_element
3.81 cycles/c_element
3.74 cycles/c_element
3.97 cycles/c_element
4.15 cycles/c_element
3.91 cycles/c_element
4.07 cycles/c_element
3.83 cycles/c_element
3.81 cycles/c_element
3.78 cycles/c_element
3.74 cycles/c_element
4.23 cycles/c_element
3.83 cycles/c_element
3.74 cycles/c_element
