Node;Process;Thread;System (%);Binary (%);Time (s);Math (%);OMP (%);String (%);Others (%);IO (%);Memory (%);MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;100;0.09;0;0;0;0;0;0;0;0;
alfred;_ALL;_ALL;0;100;0.09;0;0;0;0;0;0;0;0;
alfred;44582;_ALL;0;100;0.09;0;0;0;0;0;0;0;0;
alfred;44582;44582;0;100;0.09;0;0;0;0;0;0;0;0;
