block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
97;s13_gcc_O2;;44.44;0.04;;;;;;
98;s13_gcc_O2;;44.44;0.04;;;;;;
95;s13_gcc_O2;;5.56;0.01;;;;;;
96;s13_gcc_O2;;5.56;0.01;;;;;;
