16342,16562,16462,16408,16408,16546,16588,16432,16430,16368,16396,16414,16436,16392,16558,16308,16628,16396,16416,16364,16428,16400,16418,16370,16382,16374,16430,16548,16572,16350,16432,16562,16392,16558,16388,16404,16448,16558,16554,16368,16446,16408,16434,16340,16412,16400,16442,16378,16396,16360,16444,16410,16574,16522,16408,16416,16594,16570,16700,16366,16432,16390,16414,16352,16430,16412,16426,16362,16548,16552,16450,16386,16390,16366,16448,16402,16594,16296,16362,16594,16752,16382,16376,16386,16452,16396,16414,16358,16570,16674,16568,16352,16404,16382,16456,16392,16548,16552,16410,16572,
16440,16356,16376,16516,16386,16308,16568,16324,16406,16386,16390,16352,16374,16380,16412,16516,16312,16522,16426,16368,16404,16334,16382,16378,16416,16498,16316,16276,16376,16570,16390,16338,16410,16386,16424,16504,16328,16288,16610,16368,16386,16322,16384,16402,16408,16356,16356,16516,16374,16552,16388,16320,16414,16392,16398,16334,16374,16518,16372,16286,16326,16530,16416,16396,16410,16330,16396,16540,16380,16282,16552,16350,16428,16366,16368,16344,16398,16406,16394,16492,16316,16550,16446,16348,16382,16338,16404,16394,16392,16474,16326,16300,16386,16544,16366,16358,16432,16388,16402,16482,
16548,16690,16396,16438,16392,16806,16428,16472,16688,16470,16430,16484,16392,16446,16384,16480,16426,16448,16362,16476,16426,16480,16382,16434,16392,16498,16422,16438,16372,16778,16418,16458,16372,16460,16404,16498,16406,16756,16392,16496,16744,16470,16378,16454,16428,16496,16378,16422,16404,16496,16406,16458,16368,16474,16432,16470,16366,16444,16422,16492,16402,16740,16368,16470,16434,16476,16362,16456,16422,16812,16400,16448,16708,16500,16432,16450,16372,16472,16416,16472,16392,16436,16392,16502,16406,16448,16376,16464,16416,16478,16388,16440,16406,16796,16390,16430,16386,16494,16420,16472,
16466,16368,16452,16414,16490,16366,16576,16282,16664,16396,16444,16362,16468,16424,16466,16368,16438,16368,16478,16390,16438,16370,16464,16406,16596,16260,16602,16386,16482,16372,16426,16368,16468,16420,16456,16358,16458,16402,16628,16274,16606,16374,16486,16410,16450,16368,16454,16420,16478,16342,16422,16388,16490,16404,16426,16354,16604,16316,16622,16344,16436,16384,16486,16378,16418,16384,16478,16416,16460,16346,16598,16310,16660,16366,16430,16390,16492,16412,16436,16362,16464,16392,16458,16362,16434,16400,16482,16386,16568,16266,16632,16402,16458,16342,16444,16394,16478,16394,16432,16378,
16298,16436,16580,16744,16394,16484,16428,16464,16360,16436,16428,16492,16372,16432,16412,16646,16602,16604,16526,16456,16436,16480,16378,16446,16402,16644,16590,16446,16708,16498,16428,16482,16374,16460,16406,16804,16402,16434,16388,16492,16414,16432,16376,16462,16408,16482,16404,16590,16584,16650,16568,16436,16380,16476,16428,16478,16372,16590,16592,16502,16732,16454,16384,16494,16432,16474,16354,16766,16428,16490,16392,16440,16384,16472,16428,16456,16354,16460,16444,16636,16566,16592,16558,16488,16412,16448,16374,16480,16430,16616,16556,16452,16742,16516,16396,16450,16390,16496,16414,16770,
16568,16398,16274,16370,16296,16422,16300,16598,16376,16476,16418,16464,16348,16592,16306,16664,16370,16428,16388,16490,16412,16442,16360,16462,16392,16460,16366,16432,16396,16484,16388,16570,16260,16626,16402,16460,16346,16436,16392,16480,16394,16432,16374,16482,16402,16602,16258,16626,16482,16418,16452,16356,16458,16420,16488,16370,16434,16364,16480,16398,16446,16364,16470,16404,16460,16372,16438,16378,16484,16376,16434,16372,16458,16422,16444,16360,16586,16312,16660,16358,16428,16384,16476,16410,16456,16364,16460,16402,16486,16352,16422,16380,16488,16408,16450,16346,16454,16422,16482,16346,
17604,17590,17488,17410,17438,17370,17476,17416,17476,17358,17448,17414,17504,17368,17434,17406,17492,17406,17610,17524,17470,17432,17462,17354,17838,17430,17806,17382,17448,17752,17502,17404,17430,17384,17498,17408,17438,17380,17468,17426,17622,17528,17588,17488,17414,17460,17358,17460,17438,17476,17722,17466,17416,17506,17390,17446,17376,17824,17412,17440,17370,17484,17414,17436,17370,17456,17406,17478,17396,17596,17596,17660,17560,17424,17386,17492,17414,17458,17358,17620,17620,17476,17712,17466,17412,17506,17386,17440,17380,17824,17412,17438,17370,17482,17410,17436,17368,17456,17404,17476,
16404,16430,16362,16474,16428,16440,16354,16454,16412,16482,16378,16428,16368,16608,16316,16374,16540,16456,16404,16456,16372,16438,16372,16478,16402,16430,16374,16456,16558,16390,16264,16360,16312,16420,16300,16364,16278,16646,16414,16464,16358,16450,16410,16484,16366,16552,16288,16412,16318,16382,16266,16380,16608,16482,16356,16420,16390,16478,16412,16430,16504,16390,16318,16390,16280,84376,17284,17652,54578,16460,16426,16462,16364,16436,16420,16484,16408,16436,16360,16460,16432,16464,16368,16450,16414,16486,16396,16412,16372,16486,16412,16430,16368,65710,61204,17374,17346,848002,17502,17332,
16466,16386,16622,16582,16616,16536,16612,16562,16498,16544,16584,16388,16488,16584,16638,16510,16408,16354,16656,16400,16434,16398,16516,16578,16618,16522,16612,16434,16634,16288,16618,16414,16508,16400,16432,16542,16670,16580,16654,16376,16460,16570,16638,16390,16440,16554,16672,16556,16400,16296,16638,16446,16476,16382,16458,16568,16668,16558,16580,16378,16636,16344,16632,16376,16466,16412,16484,16558,16388,16554,16648,16568,16464,16518,16610,16422,16490,16546,16614,16538,16440,16340,16620,16388,16466,16428,16496,16536,16616,16560,16636,16404,16598,16296,16656,16430,16476,16362,16446,16578,
17394,17472,17398,17434,17336,17470,17390,17460,17362,17436,17404,17490,17380,17434,17374,17496,17376,17422,17362,17470,17416,17452,17340,17434,17416,17470,17350,17420,17380,62524,17932,18030,17914,17956,17916,18032,48734,17374,17478,17382,17426,17354,17466,17414,17446,17350,17448,17392,54404,16464,16392,61414,17406,17456,17358,17580,17610,17480,17356,17430,17364,17480,54552,16396,16490,16356,16420,16380,16488,16412,16448,16348,16446,16422,16470,16346,16426,16384,16484,16392,16432,16370,16448,16420,16460,16348,16442,16388,16490,16392,16432,16370,16482,16424,16466,16354,16450,16394,16474,16382,
