loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
5;s13_03;s13;7;;Innermost;88.89;0.04;0.04;0.04;0.04;0;1;
6;s13_03;s13;7;;Outermost;11.11;0;0;0;0;0;1;
