Node;Process;Thread;System (%);Binary (%);Time (s);Math (%);OMP (%);String (%);Others (%);IO (%);Memory (%);MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;100;0.15;0;0;0;0;0;0;0;0;
pop-os;_ALL;_ALL;0;100;0.15;0;0;0;0;0;0;0;0;
pop-os;40074;_ALL;0;100;0.15;0;0;0;0;0;0;0;0;
pop-os;40074;40074;0;100;0.15;0;0;0;0;0;0;0;0;
