loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
6;s13_03;s13;10;;Innermost;99.87;3.92;;;;;;
7;s13_03;s13;10;;Outermost;0.13;0;;;;;;
