block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
93;s13_03n;;36.15;1.24;1.24;1.24;1.24;0;1;
94;s13_03n;;24.2;0.83;0.83;0.83;0.83;0;1;
91;s13_03n;;18.95;0.65;0.65;0.65;0.65;0;1;
92;s13_03n;;10.79;0.37;0.37;0.37;0.37;0;1;
90;s13_03n;;9.91;0.34;0.34;0.34;0.34;0;1;
