block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
93;s13_03n;;36.15;1.24;;;;;;
94;s13_03n;;24.2;0.83;;;;;;
91;s13_03n;;18.95;0.65;;;;;;
92;s13_03n;;10.79;0.37;;;;;;
90;s13_03n;;9.91;0.34;;;;;;
