Node;Process;Thread;System (%);Binary (%);Time (s);Math (%);OMP (%);String (%);Others (%);IO (%);Memory (%);MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;100;0.13;0;0;0;0;0;0;0;0;
pop-os;_ALL;_ALL;0;100;0.13;0;0;0;0;0;0;0;0;
pop-os;40157;_ALL;0;100;0.13;0;0;0;0;0;0;0;0;
pop-os;40157;40157;0;100;0.13;0;0;0;0;0;0;0;0;
