block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
118;s13_03n_v5;;40.74;0.05;;;;;;
116;s13_03n_v5;;22.22;0.03;;;;;;
117;s13_03n_v5;;14.81;0.02;;;;;;
115;s13_03n_v5;;11.11;0.02;;;;;;
119;s13_03n_v5;;11.11;0.02;;;;;;
