Node;Process;Thread;System (%);Binary (%);Time (s);Math (%);OMP (%);String (%);Others (%);IO (%);Memory (%);MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;100;0.03;0;0;0;0;0;0;0;0;
alfred;_ALL;_ALL;0;100;0.03;0;0;0;0;0;0;0;0;
alfred;47016;_ALL;0;100;0.03;0;0;0;0;0;0;0;0;
alfred;47016;47016;0;100;0.03;0;0;0;0;0;0;0;0;
