loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
6;s13_gcc_O2;s13;10;;Innermost;94.44;0.08;;;;;;
7;s13_gcc_O2;s13;10;;Outermost;5.56;0.01;;;;;;
