block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
119;s13_02;;33.33;0.06;0.06;0.06;0.06;0;1;
118;s13_02;;27.78;0.05;0.05;0.05;0.05;0;1;
116;s13_02;;27.78;0.05;0.05;0.05;0.05;0;1;
117;s13_02;;11.11;0.02;0.02;0.02;0.02;0;1;
